Area Name,Area Type,Year,Labor Force,Employment,Unemployment,Unemployment Rate,Average Monthly Employment,Total Wages (All Workers),Average Weekly Wages,Establishments,Total Expenditures,Estimated Population,Expenditures Per Capita
Mariposa County,County,2011.0,8650.0,7490.0,1160.0,13.4,258.8,3262807.52,690.65,24.97,56608234.0,18261.0,3100.0
Mendocino County,County,2011.0,40870.0,36140.0,4730.0,11.6,379.24,5032355.07,668.5,60.8,179357256.0,88197.0,2034.0
Merced County,County,2011.0,114700.0,94100.0,20600.0,17.9,897.66,12035266.12,640.04,94.5,385200770.0,257984.0,1493.0
Modoc County,County,2011.0,3620.0,3030.0,590.0,16.2,126.51,1688008.34,638.26,22.72,37865746.0,9705.0,3902.0
Mono County,County,2011.0,8810.0,7910.0,900.0,10.2,258.51,3310024.81,717.99,22.9,60068773.0,14308.0,4198.0
Monterey County,County,2011.0,216300.0,188400.0,27900.0,12.9,1401.52,22311051.11,882.36,111.26,757734799.0,419038.0,1808.0
Napa County,County,2011.0,70600.0,63600.0,7000.0,10.0,768.08,13681691.0,869.33,65.19,244379746.0,137639.0,1776.0
Nevada County,County,2011.0,48940.0,43420.0,5520.0,11.3,373.81,5730527.59,712.91,51.27,144893147.0,99111.0,1462.0
Orange County,County,2011.0,1543800.0,1400900.0,142900.0,9.3,6750.07,145648406.04,1067.36,496.48,3083894766.0,3029859.0,1018.0
Placer County,County,2011.0,173500.0,154300.0,19200.0,11.0,1151.24,20858329.07,869.44,102.81,537970091.0,352380.0,1527.0
Plumas County,County,2011.0,8890.0,7300.0,1590.0,17.9,175.03,2525694.62,574.75,30.29,50833158.0,20025.0,2538.0
Riverside County,County,2011.0,977300.0,846300.0,131000.0,13.4,3120.46,47675196.03,815.47,290.73,3103508291.0,2217778.0,1399.0
Sacramento County,County,2011.0,679000.0,595300.0,83700.0,12.3,3505.16,73925426.53,945.8,335.57,2401936692.0,1428355.0,1682.0
San Benito County,County,2011.0,28300.0,24100.0,4200.0,14.8,311.09,4449405.83,697.63,41.41,77729512.0,55619.0,1398.0
San Bernardino County,County,2011.0,887300.0,771100.0,116200.0,13.1,3221.1,51799359.51,814.37,280.1,3011873556.0,2052397.0,1467.0
San Diego County,County,2011.0,1521700.0,1361900.0,159900.0,10.5,6130.31,128102601.19,982.09,491.73,3477860152.0,3118876.0,1115.0
San Francisco County,County,2011.0,493400.0,453100.0,40400.0,8.2,3647.53,117231809.56,1351.34,384.33,2420077983.4,1307601.78,4678.16
San Joaquin County,County,2011.0,311200.0,260000.0,51200.0,16.5,1597.92,25360806.4,824.89,144.47,1038260985.0,690899.0,1503.0
San Luis Obispo County,County,2011.0,134100.0,121000.0,13000.0,9.7,905.07,13936098.02,770.46,89.06,401935190.0,270966.0,1483.0
San Mateo County,County,2011.0,398900.0,368400.0,30500.0,7.7,2258.67,67738160.16,1236.58,170.79,1224443265.0,724702.0,1690.0
Santa Barbara County,County,2011.0,212600.0,192300.0,20300.0,9.5,1321.56,23313447.53,926.65,113.1,732828127.0,426189.0,1719.0
Santa Clara County,County,2011.0,937900.0,849100.0,88800.0,9.5,5149.85,195972483.26,1254.67,372.91,3414741017.0,1797375.0,1900.0
Santa Cruz County,County,2011.0,141100.0,122400.0,18800.0,13.3,830.61,13686376.82,887.91,91.19,411937327.0,264430.0,1558.0
Shasta County,County,2011.0,77000.0,64500.0,12500.0,16.2,636.4,9293971.4,733.51,81.64,243857110.0,177924.0,1371.0
Sierra County,County,2011.0,1600.0,1360.0,240.0,15.1,70.97,1058503.64,688.4,13.85,19513420.0,3248.0,6008.0
Siskiyou County,County,2011.0,19430.0,16070.0,3360.0,17.3,266.28,3486692.89,625.62,39.92,92086244.0,45084.0,2043.0
Solano County,County,2011.0,201900.0,176900.0,25000.0,12.4,1009.72,18840056.59,839.5,90.53,551694612.0,414509.0,1331.0
Sonoma County,County,2011.0,245600.0,220100.0,25500.0,10.4,1269.89,22740116.0,925.46,140.96,791231581.0,487125.0,1624.0
Stanislaus County,County,2011.0,242200.0,201600.0,40600.0,16.8,1335.0,20417252.43,756.44,133.28,727707644.0,517685.0,1406.0
Sutter County,County,2011.0,45900.0,37400.0,8500.0,18.5,497.34,6814072.57,716.74,58.43,139101389.0,95800.0,1452.0
Tehama County,County,2011.0,25550.0,21660.0,3890.0,15.2,318.06,4313504.74,645.08,46.22,100569088.0,63950.0,1573.0
Trinity County,County,2011.0,5380.0,4470.0,910.0,17.0,121.68,1610933.27,618.48,20.73,40419395.0,13853.0,2918.0
Tulare County,County,2011.0,203400.0,168000.0,35400.0,17.4,1342.9,17169470.87,680.81,91.65,653314080.0,446837.0,1462.0
Tuolumne County,County,2011.0,22700.0,19360.0,3340.0,14.7,308.16,4522164.2,732.63,34.99,100164857.0,55256.0,1813.0
Ventura County,County,2011.0,430900.0,386000.0,44900.0,10.4,1993.44,38487889.8,963.96,161.87,1276806352.0,828383.0,1541.0
Yolo County,County,2011.0,101600.0,89500.0,12200.0,12.0,823.28,14097829.85,822.96,74.73,244393211.0,201759.0,1211.0
Yuba County,County,2011.0,28900.0,23900.0,5000.0,17.3,278.95,4399495.67,596.32,39.17,128941559.0,72479.0,1779.0
California,State,2012.0,18484900.0,16541000.0,1943800.0,10.5,49303.18,1120557300.92,1116.22,4315.3,56801310136.0,36866025.0,120073.0
Alameda County,County,2012.0,796500.0,726100.0,70300.0,8.8,3692.39,93707344.72,1146.07,313.77,2221267982.0,1532137.0,1450.0
Alpine County,County,2012.0,540.0,480.0,60.0,11.2,70.55,1310751.42,841.33,11.86,18559365.0,1097.0,16918.0
Amador County,County,2012.0,14650.0,12820.0,1820.0,12.5,280.61,4242728.02,679.96,28.52,59289357.0,37120.0,1597.0
Butte County,County,2012.0,100800.0,88400.0,12400.0,12.3,710.39,10053904.78,727.87,78.66,351797294.0,221273.0,1590.0
Calaveras County,County,2012.0,20170.0,17630.0,2530.0,12.6,183.83,2442176.48,665.72,32.86,83653260.0,44840.0,1866.0
Colusa County,County,2012.0,11270.0,8900.0,2370.0,21.0,287.88,4142287.01,739.65,29.89,47080206.0,21690.0,2171.0
Contra Costa County,County,2012.0,534500.0,485900.0,48600.0,9.1,2285.94,54551968.47,1120.56,211.83,2016639285.0,1065117.0,1893.0
Del Norte County,County,2012.0,10480.0,9040.0,1440.0,13.7,273.85,3943886.9,658.58,31.1,63595956.0,28429.0,2237.0
El Dorado County,County,2012.0,88900.0,79600.0,9200.0,10.4,563.43,9141949.31,811.72,61.65,260871342.0,180712.0,1444.0
Fresno County,County,2012.0,439500.0,372000.0,67500.0,15.4,2321.88,34831917.15,805.64,190.64,1174535564.0,945711.0,1242.0
Glenn County,County,2012.0,13130.0,11240.0,1890.0,14.4,258.04,3572376.44,676.75,37.92,65960412.0,28122.0,2346.0
Humboldt County,County,2012.0,64100.0,57900.0,6200.0,9.7,514.96,7028214.34,704.86,59.48,239716576.0,134587.0,1781.0
Imperial County,County,2012.0,79300.0,57400.0,22000.0,27.7,776.23,10672935.37,720.77,90.63,280430365.0,177441.0,1580.0
Inyo County,County,2012.0,9540.0,8660.0,880.0,9.2,244.04,3642644.31,690.58,23.49,63172834.0,18461.0,3422.0
Kern County,County,2012.0,391300.0,339000.0,52300.0,13.4,2188.56,36985157.12,814.33,123.33,1552674370.0,850006.0,1827.0
Kings County,County,2012.0,58700.0,49800.0,8900.0,15.1,647.9,9369997.62,692.68,57.43,180967549.0,152419.0,1187.0
Lake County,County,2012.0,29460.0,25640.0,3820.0,13.0,317.0,4221933.05,683.8,64.1,113540568.0,63266.0,1795.0
Lassen County,County,2012.0,11450.0,10000.0,1450.0,12.7,277.82,4871621.19,671.79,20.59,59620389.0,34167.0,1745.0
Los Angeles County,County,2012.0,4904900.0,4365700.0,539200.0,11.0,16108.37,356529977.6,1115.64,1704.44,17483298232.0,9884632.0,1769.0
Madera County,County,2012.0,62400.0,53300.0,9200.0,14.7,643.28,9101579.38,673.25,57.91,184283427.0,152074.0,1212.0
Marin County,County,2012.0,136500.0,127800.0,8700.0,6.4,959.79,22365460.98,1118.53,109.28,435482895.0,254790.0,1709.0
Mariposa County,County,2012.0,8360.0,7320.0,1040.0,12.4,236.55,3065717.39,705.6,21.66,55986576.0,17716.0,3160.0
Mendocino County,County,2012.0,40860.0,36690.0,4170.0,10.2,394.47,5294015.98,682.15,55.21,169368371.0,87572.0,1934.0
Merced County,County,2012.0,114900.0,95900.0,19000.0,16.6,912.2,12528968.89,655.88,82.13,371059926.0,258736.0,1434.0
Modoc County,County,2012.0,3610.0,3080.0,530.0,14.6,131.66,1757302.78,652.62,20.1,29831096.0,9566.0,3118.0
Mono County,County,2012.0,8380.0,7500.0,880.0,10.5,259.62,3204026.19,791.43,24.42,56215388.0,14391.0,3906.0
Monterey County,County,2012.0,217400.0,191800.0,25600.0,11.8,1406.14,22608313.75,872.42,107.44,761268611.0,420668.0,1810.0
Napa County,County,2012.0,71600.0,65500.0,6200.0,8.6,813.86,14739992.0,885.96,66.59,249503537.0,138255.0,1805.0
Nevada County,County,2012.0,48260.0,43470.0,4780.0,9.9,373.09,5864163.54,751.53,49.36,143152631.0,97182.0,1473.0
Orange County,County,2012.0,1558500.0,1433500.0,125000.0,8.0,6910.4,153200027.0,1095.23,497.49,3216502837.0,3055792.0,1053.0
Placer County,County,2012.0,174500.0,157900.0,16600.0,9.5,1180.25,22192965.93,900.39,101.49,495654443.0,355328.0,1395.0
Plumas County,County,2012.0,8480.0,7090.0,1390.0,16.4,174.83,2603523.13,584.86,26.39,50644408.0,19718.0,2568.0
Riverside County,County,2012.0,985200.0,868800.0,116500.0,11.8,3136.48,48176826.4,826.94,262.89,3089526728.0,2227577.0,1387.0
Sacramento County,County,2012.0,679900.0,607200.0,72600.0,10.7,3587.27,77100992.17,962.88,294.71,2363305895.0,1435153.0,1647.0
San Benito County,County,2012.0,28600.0,24800.0,3800.0,13.3,326.83,4768494.35,731.34,38.77,72213035.0,55815.0,1294.0
San Bernardino County,County,2012.0,890500.0,787300.0,103300.0,11.6,3259.45,53515702.75,835.45,245.76,3000553196.0,2063919.0,1454.0
San Diego County,County,2012.0,1536900.0,1394300.0,142700.0,9.3,6226.26,133799797.17,1014.77,487.55,3596335746.0,3143429.0,1144.0
San Francisco County,County,2012.0,508000.0,473000.0,35000.0,6.9,3789.63,126209629.99,1416.14,378.71,2420077983.4,1307601.78,4678.16
San Joaquin County,County,2012.0,311400.0,266000.0,45400.0,14.6,1571.36,25190050.25,821.66,124.94,1044097535.0,695750.0,1501.0
San Luis Obispo County,County,2012.0,137000.0,125500.0,11500.0,8.4,906.08,13925837.9,782.53,85.48,399974805.0,271483.0,1473.0
San Mateo County,County,2012.0,410900.0,384100.0,26800.0,6.5,2373.61,98669450.87,1327.06,171.54,1163707360.0,729443.0,1595.0
Santa Barbara County,County,2012.0,215500.0,197100.0,18400.0,8.5,1327.05,24188451.0,952.93,109.88,730246532.0,427267.0,1709.0
Santa Clara County,County,2012.0,956000.0,879400.0,76500.0,8.0,5371.2,207731666.37,1285.0,373.63,3384871819.0,1816486.0,1863.0
Santa Cruz County,County,2012.0,141800.0,124800.0,17000.0,12.0,837.15,14318071.08,884.26,87.92,391622021.0,265981.0,1472.0
Shasta County,County,2012.0,75900.0,65000.0,10900.0,14.4,633.2,9319835.93,751.82,70.57,248577940.0,177823.0,1398.0
Sierra County,County,2012.0,1470.0,1250.0,210.0,14.6,60.85,888458.27,642.12,12.3,18699543.0,3152.0,5933.0
Siskiyou County,County,2012.0,18850.0,15870.0,2990.0,15.9,266.14,3510100.55,623.14,38.0,87597096.0,44639.0,1962.0
Solano County,County,2012.0,202200.0,180300.0,22000.0,10.9,1014.36,19744921.79,858.75,80.9,542758644.0,413786.0,1312.0
Sonoma County,County,2012.0,245700.0,223600.0,22100.0,9.0,1258.69,22448912.63,924.5,136.57,738271668.0,487011.0,1516.0
Stanislaus County,County,2012.0,241700.0,205100.0,36500.0,15.1,1383.06,21811875.8,780.92,117.4,670490697.0,519940.0,1290.0
Sutter County,County,2012.0,45500.0,37700.0,7800.0,17.1,495.21,6926498.17,724.33,52.87,132053697.0,95065.0,1389.0
Tehama County,County,2012.0,25210.0,21690.0,3520.0,14.0,327.81,4532336.74,652.03,40.8,95275561.0,63177.0,1508.0
Trinity County,County,2012.0,5320.0,4530.0,790.0,14.9,129.21,1740582.46,594.54,19.29,40389810.0,13722.0,2943.0
Tulare County,County,2012.0,201100.0,168100.0,33000.0,16.4,1350.11,17784283.08,702.57,89.82,658505390.0,450840.0,1461.0
Tuolumne County,County,2012.0,22280.0,19340.0,2940.0,13.2,324.54,4828086.42,732.86,34.56,103508192.0,53834.0,1923.0
Ventura County,County,2012.0,433700.0,393600.0,40100.0,9.2,2040.26,40047727.07,993.0,160.43,1313739166.0,832970.0,1577.0
Yolo County,County,2012.0,102400.0,91300.0,11100.0,10.8,830.55,14611493.63,855.46,74.44,233857461.0,202133.0,1157.0
Yuba County,County,2012.0,28800.0,24300.0,4500.0,15.6,289.29,4637441.85,633.04,33.99,125505547.0,72615.0,1728.0
California,State,2013.0,18565400.0,16887900.0,1677500.0,9.0,50569.47,1155300206.0,1121.95,4237.12,58958046229.0,37141360.0,119083.0
Alameda County,County,2013.0,799800.0,741200.0,58600.0,7.3,3816.51,96615121.71,1156.36,314.23,2295382137.0,1548681.0,1482.0
Alpine County,County,2013.0,520.0,470.0,50.0,9.8,64.35,1397360.21,753.65,12.25,15857853.0,1087.0,14589.0
Amador County,County,2013.0,14400.0,12900.0,1500.0,10.4,281.02,4382820.47,694.96,28.65,59949058.0,36741.0,1632.0
Butte County,County,2013.0,101400.0,90800.0,10600.0,10.4,749.14,10474902.57,734.96,83.42,347665055.0,221485.0,1570.0
Calaveras County,County,2013.0,20190.0,18160.0,2030.0,10.1,190.49,2492062.26,677.85,32.61,97959949.0,44932.0,2180.0
Colusa County,County,2013.0,11270.0,9110.0,2150.0,19.1,290.25,4294564.89,726.55,27.55,53867054.0,21674.0,2485.0
Contra Costa County,County,2013.0,536000.0,495300.0,40700.0,7.6,2337.34,56463228.58,1132.64,207.01,2159734994.0,1074702.0,2010.0
Del Norte County,County,2013.0,10300.0,9060.0,1230.0,12.0,277.51,3923629.18,671.95,28.85,66313113.0,28380.0,2337.0
El Dorado County,County,2013.0,88300.0,80700.0,7600.0,8.6,578.09,9633700.2,848.09,61.15,270617935.0,182286.0,1485.0
Fresno County,County,2013.0,436600.0,378000.0,58600.0,13.4,2375.94,35740052.7,814.93,207.15,1224642063.0,952166.0,1286.0
Glenn County,County,2013.0,12950.0,11360.0,1590.0,12.2,258.26,3627389.93,702.96,33.0,68064510.0,28349.0,2401.0
Humboldt County,County,2013.0,62800.0,57700.0,5200.0,8.2,534.36,7392321.87,714.26,58.12,239056571.0,135209.0,1768.0
Imperial County,County,2013.0,78200.0,58400.0,19800.0,25.3,792.19,10868970.53,715.52,82.54,283034960.0,180061.0,1572.0
Inyo County,County,2013.0,9360.0,8610.0,740.0,7.9,239.4,3606050.97,704.33,23.08,68004848.0,18573.0,3661.0
Kern County,County,2013.0,392200.0,345600.0,46600.0,11.9,2244.66,37719854.42,819.51,125.75,1601784836.0,857882.0,1867.0
Kings County,County,2013.0,58000.0,50100.0,7900.0,13.6,631.12,9231597.36,702.92,51.43,189311156.0,152007.0,1245.0
Lake County,County,2013.0,29160.0,25940.0,3220.0,11.0,334.53,4330268.56,677.68,63.25,111995868.0,64531.0,1736.0
Lassen County,County,2013.0,10970.0,9790.0,1180.0,10.7,289.46,4981055.62,711.36,20.26,54414928.0,33422.0,1628.0
Los Angeles County,County,2013.0,4955800.0,4471400.0,484400.0,9.8,16611.77,363835101.19,1109.9,1706.91,18257123616.0,9958091.0,1833.0
Madera County,County,2013.0,62100.0,54200.0,7900.0,12.7,677.76,9740797.61,699.37,55.13,191015636.0,152711.0,1251.0
Marin County,County,2013.0,137800.0,130600.0,7200.0,5.2,974.4,22876132.72,1120.65,107.53,409262889.0,254007.0,1611.0
Mariposa County,County,2013.0,8200.0,7330.0,870.0,10.6,246.13,3156786.04,707.41,20.94,56464078.0,18026.0,3132.0
Mendocino County,County,2013.0,40690.0,37250.0,3440.0,8.5,408.68,5376661.62,692.26,57.75,171453568.0,88291.0,1942.0
Merced County,County,2013.0,114300.0,97500.0,16800.0,14.7,935.89,12950634.53,676.72,77.52,373693857.0,262478.0,1424.0
Modoc County,County,2013.0,3490.0,3060.0,430.0,12.4,146.05,1974980.05,732.03,19.95,27623442.0,9522.0,2901.0
Mono County,County,2013.0,8340.0,7620.0,720.0,8.6,265.82,3401950.04,778.4,24.02,54352990.0,14493.0,3750.0
Monterey County,County,2013.0,215700.0,193200.0,22500.0,10.4,1435.85,23373142.77,909.08,106.96,766589843.0,421494.0,1819.0
Napa County,County,2013.0,72500.0,67400.0,5100.0,7.0,871.43,16106155.0,908.06,68.42,269215022.0,138383.0,1945.0
Nevada County,County,2013.0,47990.0,44060.0,3940.0,8.2,387.83,5999495.13,773.72,48.69,134354023.0,97019.0,1385.0
Orange County,County,2013.0,1559500.0,1455300.0,104200.0,6.7,7114.84,156889353.06,1090.28,507.51,3325199979.0,3081804.0,1079.0
Placer County,County,2013.0,175200.0,161500.0,13700.0,7.8,1232.0,23327919.67,915.6,100.9,501891180.0,357463.0,1404.0
Plumas County,County,2013.0,8230.0,7080.0,1150.0,14.0,179.09,2645945.55,619.13,25.34,46266389.0,19643.0,2355.0
Riverside County,County,2013.0,993000.0,893500.0,99600.0,10.0,3243.91,50125242.13,838.82,286.46,3216241149.0,2255059.0,1426.0
Sacramento County,County,2013.0,677800.0,616900.0,60900.0,9.0,3657.76,78476413.95,976.67,311.29,2487137490.0,1445806.0,1720.0
San Benito County,County,2013.0,28800.0,25600.0,3200.0,11.2,339.52,4973282.75,711.78,36.4,66663570.0,56669.0,1176.0
San Bernardino County,County,2013.0,893600.0,805200.0,88400.0,9.9,3355.67,54969673.69,839.86,266.94,3138089371.0,2076274.0,1511.0
San Diego County,County,2013.0,1537600.0,1415600.0,122000.0,7.9,6352.27,138446257.38,1027.58,477.24,3692791845.0,3150178.0,1172.0
San Francisco County,County,2013.0,514200.0,485800.0,28400.0,5.5,3959.94,134732692.59,1418.65,378.29,2420077983.4,1307601.78,4678.16
San Joaquin County,County,2013.0,312100.0,273300.0,38900.0,12.5,1601.62,25748914.61,825.71,126.74,1062426193.0,698414.0,1521.0
San Luis Obispo County,County,2013.0,137700.0,128200.0,9500.0,6.9,927.62,14574303.27,802.75,83.99,400203023.0,272177.0,1470.0
San Mateo County,County,2013.0,416400.0,394200.0,22200.0,5.3,2519.18,104292907.88,1353.23,176.94,1183291107.0,735678.0,1608.0
Santa Barbara County,County,2013.0,216500.0,200700.0,15800.0,7.3,1318.9,24084244.04,954.01,107.93,718489242.0,429200.0,1674.0
Santa Clara County,County,2013.0,968200.0,904700.0,63400.0,6.6,5640.64,223533732.8,1302.23,378.98,3561844088.0,1842254.0,1933.0
Santa Cruz County,County,2013.0,141600.0,126900.0,14700.0,10.4,865.13,14899182.9,878.97,88.25,421055100.0,266662.0,1579.0
Shasta County,County,2013.0,75000.0,66100.0,9000.0,12.0,636.87,9262774.27,760.78,73.07,271604224.0,178601.0,1521.0
Sierra County,County,2013.0,1450.0,1260.0,190.0,12.9,67.66,998932.19,707.96,13.06,17923693.0,3166.0,5661.0
Siskiyou County,County,2013.0,18240.0,15810.0,2430.0,13.3,264.54,3528857.05,648.83,35.52,83808673.0,44796.0,1871.0
Solano County,County,2013.0,202300.0,183800.0,18600.0,9.2,1021.78,20306552.63,871.91,84.97,559204862.0,418387.0,1337.0
Sonoma County,County,2013.0,249000.0,231100.0,17900.0,7.2,1313.03,23623027.52,947.33,135.62,764095824.0,490423.0,1558.0
Stanislaus County,County,2013.0,240300.0,208800.0,31500.0,13.1,1431.14,22604110.98,793.57,123.59,725311131.0,524124.0,1384.0
Sutter County,County,2013.0,44700.0,38100.0,6600.0,14.8,497.17,7072986.04,736.01,54.15,141951660.0,95851.0,1481.0
Tehama County,County,2013.0,25010.0,22070.0,2940.0,11.8,323.74,4526442.38,628.46,37.54,106744031.0,63772.0,1674.0
Trinity County,County,2013.0,5180.0,4550.0,630.0,12.1,125.09,1618853.56,604.3,19.17,42461859.0,13443.0,3159.0
Tulare County,County,2013.0,200500.0,171300.0,29100.0,14.5,1429.15,18927339.45,715.57,90.48,664827265.0,455599.0,1459.0
Tuolumne County,County,2013.0,21680.0,19310.0,2360.0,10.9,317.08,4607443.0,741.49,33.45,100218868.0,54360.0,1844.0
Ventura County,County,2013.0,432300.0,397900.0,34500.0,8.0,2048.95,40250736.07,996.33,160.33,1346060942.0,835436.0,1611.0
Yolo County,County,2013.0,101500.0,92200.0,9300.0,9.1,817.27,14577756.52,871.2,65.15,272683620.0,205999.0,1324.0
Yuba County,County,2013.0,28200.0,24400.0,3800.0,13.3,298.23,4725002.74,628.92,31.94,120753999.0,73439.0,1644.0
California,State,2014.0,18676700.0,17264500.0,1412200.0,7.6,51853.79,1224635098.51,1156.77,4403.1,61998473789.0,37503454.0,124261.0
Alameda County,County,2014.0,806300.0,758800.0,47500.0,5.9,3937.79,103101197.14,1204.07,328.39,2405508090.0,1573254.0,1529.0
Alpine County,County,2014.0,510.0,470.0,40.0,8.3,61.44,1519803.8,923.33,11.45,18593470.0,1079.0,17232.0
Amador County,County,2014.0,14320.0,13120.0,1200.0,8.4,280.98,4516743.81,735.11,29.64,62404951.0,36151.0,1726.0
Butte County,County,2014.0,101100.0,92200.0,8800.0,8.7,762.25,10855503.62,753.78,85.9,329455634.0,222316.0,1482.0
Calaveras County,County,2014.0,20210.0,18570.0,1640.0,8.1,196.37,2586710.89,674.47,33.24,83653600.0,44650.0,1874.0
Colusa County,County,2014.0,11080.0,9130.0,1950.0,17.6,303.59,4779922.87,761.06,29.14,56162747.0,21660.0,2593.0
Contra Costa County,County,2014.0,538500.0,504800.0,33600.0,6.2,2401.68,59012209.43,1150.89,216.63,2260176890.0,1087008.0,2079.0
Del Norte County,County,2014.0,9920.0,8900.0,1010.0,10.2,267.78,3688950.47,651.58,29.05,62894734.0,28131.0,2236.0
El Dorado County,County,2014.0,87700.0,81500.0,6200.0,7.1,587.72,10002277.06,870.17,63.44,276833206.0,182404.0,1518.0
Fresno County,County,2014.0,437600.0,386400.0,51300.0,11.7,2440.89,37964007.93,845.58,218.66,1243526163.0,964040.0,1290.0
Glenn County,County,2014.0,12780.0,11400.0,1380.0,10.8,264.86,3798146.48,737.44,34.28,64345624.0,28353.0,2269.0
Humboldt County,County,2014.0,62200.0,58000.0,4200.0,6.7,531.42,7530913.36,723.9,57.37,258159217.0,134648.0,1917.0
Imperial County,County,2014.0,78300.0,59300.0,19000.0,24.3,825.2,11517397.66,753.76,83.08,289705311.0,180672.0,1603.0
Inyo County,County,2014.0,9190.0,8560.0,630.0,6.9,234.93,3706367.16,814.49,23.16,67407283.0,18590.0,3626.0
Kern County,County,2014.0,391900.0,350600.0,41300.0,10.5,2316.42,39853090.13,843.48,129.57,1720884350.0,873092.0,1971.0
Kings County,County,2014.0,57400.0,50400.0,6900.0,12.1,674.49,9963476.53,742.9,54.32,198913637.0,150181.0,1324.0
Lake County,County,2014.0,29230.0,26580.0,2640.0,9.0,341.7,4458479.13,682.55,65.87,123347399.0,64699.0,1906.0
Lassen County,County,2014.0,10800.0,9800.0,990.0,9.2,283.73,4950627.96,715.7,20.81,56042602.0,32581.0,1720.0
Los Angeles County,County,2014.0,4982400.0,4572200.0,410200.0,8.2,17038.04,384683001.9,1150.76,1798.28,19094669651.0,10041797.0,1902.0
Madera County,County,2014.0,61700.0,54700.0,7000.0,11.3,694.93,9980420.85,698.1,57.81,190582221.0,153897.0,1238.0
Marin County,County,2014.0,138500.0,132500.0,6000.0,4.3,1011.39,24643648.63,1151.56,114.21,494031653.0,255846.0,1931.0
Mariposa County,County,2014.0,8080.0,7360.0,720.0,8.9,234.64,3071160.67,721.52,20.76,59047584.0,18467.0,3197.0
Mendocino County,County,2014.0,40300.0,37450.0,2860.0,7.1,420.57,5602106.19,701.95,59.86,177230411.0,89029.0,1991.0
Merced County,County,2014.0,114200.0,99400.0,14800.0,13.0,959.15,13552760.97,706.06,79.01,393380153.0,264922.0,1485.0
Modoc County,County,2014.0,3360.0,3010.0,350.0,10.4,139.39,1974679.02,735.95,19.49,25088152.0,9197.0,2728.0
Mono County,County,2014.0,8220.0,7640.0,590.0,7.1,267.45,3456938.12,791.62,24.44,51026795.0,14143.0,3608.0
Monterey County,County,2014.0,217400.0,197400.0,19900.0,9.2,1497.07,24644149.16,927.15,111.55,794065935.0,425756.0,1865.0
Napa County,County,2014.0,73300.0,69000.0,4200.0,5.7,933.19,17646711.78,961.64,73.1,307777489.0,139255.0,2210.0
Nevada County,County,2014.0,47750.0,44580.0,3170.0,6.6,399.34,6262399.62,806.69,50.36,132487296.0,97225.0,1363.0
Orange County,County,2014.0,1565400.0,1478500.0,87000.0,5.6,7143.62,162430017.52,1126.66,521.0,3444934619.0,3113991.0,1106.0
Placer County,County,2014.0,175100.0,164000.0,11100.0,6.3,1245.26,24225123.02,936.51,104.38,546793297.0,366115.0,1494.0
Plumas County,County,2014.0,8090.0,7140.0,940.0,11.7,179.72,2638565.14,652.42,26.47,48249746.0,19140.0,2521.0
Riverside County,County,2014.0,1009200.0,925500.0,83700.0,8.3,3397.5,53652173.47,866.05,302.85,3428441205.0,2279967.0,1504.0
Sacramento County,County,2014.0,677700.0,627600.0,50100.0,7.4,3686.73,80648366.16,1001.53,323.11,2575821280.0,1454406.0,1771.0
San Benito County,County,2014.0,29100.0,26400.0,2700.0,9.4,335.04,5114870.65,753.5,36.06,68288887.0,57517.0,1187.0
San Bernardino County,County,2014.0,903600.0,830500.0,73200.0,8.1,3474.73,57766516.11,861.83,280.33,3362581745.0,2085669.0,1612.0
San Diego County,County,2014.0,1537500.0,1437400.0,100100.0,6.5,6484.87,145675723.82,1061.09,490.38,3879085789.0,3194362.0,1214.0
San Francisco County,County,2014.0,527300.0,504000.0,23300.0,4.4,4120.9,152496915.9,1501.24,360.56,2420077983.4,1307601.78,4678.16
San Joaquin County,County,2014.0,311500.0,278300.0,33200.0,10.7,1656.12,27129434.42,838.04,131.3,1096954694.0,710731.0,1543.0
San Luis Obispo County,County,2014.0,139900.0,132000.0,7900.0,5.6,954.26,15433949.17,830.14,87.44,424808645.0,272357.0,1560.0
San Mateo County,County,2014.0,425900.0,407700.0,18200.0,4.3,2623.34,106893968.84,1395.71,186.18,1311459035.0,745193.0,1760.0
Santa Barbara County,County,2014.0,217300.0,203900.0,13400.0,6.2,1375.02,25704143.8,978.66,112.71,697619188.0,433398.0,1610.0
Santa Clara County,County,2014.0,987600.0,936100.0,51500.0,5.2,5720.77,242274372.27,1350.86,389.39,3950036970.0,1868558.0,2114.0
Santa Cruz County,County,2014.0,142000.0,129500.0,12600.0,8.9,866.86,14844297.13,903.35,89.44,422250736.0,271595.0,1555.0
Shasta County,County,2014.0,74700.0,67500.0,7300.0,9.7,659.17,9863280.25,788.49,74.86,267516878.0,179412.0,1491.0
Sierra County,County,2014.0,1410.0,1270.0,140.0,10.2,60.99,962523.51,707.94,12.07,17760529.0,3089.0,5750.0
Siskiyou County,County,2014.0,17980.0,15960.0,2020.0,11.2,272.3,3748270.12,669.0,36.7,91125631.0,45231.0,2015.0
Solano County,County,2014.0,202400.0,187000.0,15400.0,7.6,1040.69,21213017.21,907.81,89.28,591840280.0,424233.0,1395.0
Sonoma County,County,2014.0,255600.0,241000.0,14500.0,5.7,1376.62,25351604.34,962.87,141.69,826349082.0,490486.0,1685.0
Stanislaus County,County,2014.0,240200.0,213100.0,27100.0,11.3,1449.43,23382086.74,806.83,126.73,762210478.0,526042.0,1449.0
